Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306,5.0,Yes,11,3.0,3,0.0,6.0,3.0,3,3.0,2.0,1.0,2.0
24,No,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0.0,No,18,3.0,4,1.0,5.0,4.5,2,4.0,2.0,1.0,3.0
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407.0,6986,7.0,No,23,3.0,2,0.0,10.0,4.0,3,5.0,3.0,0.0,3.0
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0.0,No,11,3.0,3,0.0,13.0,4.0,3,12.0,6.0,2.0,11.0
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281,1.0,No,14,3.0,4,0.0,0.0,4.5,3,0.0,0.0,0.0,0.0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2.0,No,11,3.0,3,0.0,8.0,2.0,3,4.0,2.0,1.0,3.0
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,16581.0,10735,4.0,No,11,3.0,4,1.0,26.0,3.0,2,14.0,13.0,4.0,8.0
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681,1.0,Yes,22,3.0,2,0.0,10.0,4.5,3,10.0,2.0,6.0,7.0
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0.0,No,11,3.0,4,1.0,10.0,2.0,3,9.0,7.0,4.0,2.0
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3.0,No,14,3.0,4,1.0,24.0,4.0,3,18.0,6.0,5.0,14.5
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,16581.0,22822,3.0,No,12,3.0,4,0.0,22.0,2.0,2,2.0,2.0,2.0,1.0
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4.0,No,11,3.0,4,0.0,7.0,3.0,3,1.0,1.0,0.0,0.0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2.0,Yes,13,3.0,4,0.0,9.0,4.5,4,4.0,2.0,1.0,3.0
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1.0,No,13,3.0,1,0.0,10.0,4.5,3,10.0,0.0,1.0,8.0
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3.0,No,14,3.0,3,1.0,19.0,4.5,4,1.0,0.0,0.0,0.0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2.0,Yes,16,3.0,1,1.0,6.0,2.0,2,2.0,0.0,2.0,0.0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1.0,No,12,3.0,4,2.0,6.0,3.0,2,5.0,3.0,1.0,4.0
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1.0,Yes,14,3.0,3,0.0,3.0,2.0,3,3.0,2.0,0.0,2.0
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687,1.0,No,13,3.0,1,0.0,2.0,3.0,3,2.0,2.0,2.0,2.0
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,8.5,Yes,14,3.0,4,1.0,6.0,3.0,4,1.0,1.0,0.0,0.0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2.0,No,19,3.0,1,2.0,10.0,3.0,3,5.0,3.0,1.0,3.0
35,No,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1.0,No,12,3.0,3,1.0,1.0,3.0,3,1.0,0.0,0.0,0.0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1.0,No,13,3.0,4,1.0,1.0,4.5,3,1.0,0.0,0.0,0.0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1.0,No,12,3.0,3,0.0,1.0,2.0,2,1.0,0.0,0.0,1.0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1.0,No,15,3.0,4,0.0,9.0,0.5,3,9.0,8.0,1.0,7.0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1.0,No,23,3.0,4,0.0,12.0,2.0,3,12.0,8.0,3.0,7.0
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,16581.0,16280,1.0,No,12,3.0,4,0.0,23.0,0.5,3,18.0,14.5,7.5,8.0
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0.0,No,20,3.0,3,0.0,10.0,2.0,3,9.0,5.0,7.5,7.0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4.0,No,21,3.0,1,0.0,8.0,1.0,3,1.0,0.0,0.0,0.0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4.0,Yes,21,3.0,3,0.0,14.0,4.0,3,9.0,6.0,0.0,8.0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1.0,No,19,3.0,4,0.0,1.0,2.0,3,1.0,0.0,0.0,1.0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294,8.5,Yes,13,3.0,4,0.0,23.0,2.0,3,1.0,0.0,0.0,0.0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,11179,1.0,Yes,13,3.0,3,0.0,2.0,3.0,2,2.0,2.0,2.0,2.0
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5.0,Yes,21,3.0,3,1.0,9.0,2.0,2,4.0,3.0,1.0,3.0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2.0,Yes,13,3.0,3,1.0,10.0,3.0,3,4.0,0.0,2.0,3.0
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436,7.0,Yes,19,3.0,3,1.0,5.0,2.0,2,2.0,2.0,0.0,0.0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458.0,15146,1.0,Yes,12,3.0,3,0.0,15.0,1.0,3,15.0,14.0,7.5,12.0
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1.0,No,22,3.0,4,1.0,9.0,3.0,2,9.0,8.0,1.0,8.0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,16002,3.0,Yes,15,3.0,3,1.0,4.0,3.0,3,2.0,2.0,2.0,2.0
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3.0,No,22,3.0,4,1.0,10.0,3.0,2,7.0,7.0,1.0,7.0
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1.0,No,18,3.0,3,1.0,7.0,2.0,4,7.0,5.0,0.0,7.0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1.0,Yes,22,3.0,2,1.0,9.0,3.0,3,9.0,8.0,7.0,8.0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1.0,No,11,3.0,4,0.0,10.0,2.0,3,10.0,3.0,7.5,9.0
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,16581.0,16701,5.0,Yes,12,3.0,4,1.0,28.5,2.0,2,18.0,3.0,7.5,8.0
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7.0,No,11,3.0,4,0.0,28.0,3.0,2,18.0,14.5,7.0,9.0
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1.0,No,13,3.0,2,2.5,17.0,2.0,3,17.0,14.0,7.5,8.0
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730,2.0,Yes,14,3.0,3,2.5,21.0,2.0,3,5.0,0.0,0.0,2.0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1.0,No,13,3.0,3,0.0,6.0,3.0,3,6.0,5.0,0.0,3.0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2.0,No,17,3.0,3,1.0,25.0,2.0,3,1.0,0.0,0.0,0.0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4.0,No,13,3.0,4,1.0,5.0,2.0,2,3.0,2.0,1.0,2.0
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777,0.0,Yes,17,3.0,1,1.0,2.0,0.5,2,1.0,0.0,0.0,0.0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7.0,No,11,3.0,4,0.0,20.0,2.0,2,4.0,3.0,1.0,3.0
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703.0,4956,0.0,No,23,3.0,4,1.0,6.0,3.0,3,5.0,4.0,0.0,4.0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1.0,No,17,3.0,2,0.0,1.0,4.0,3,1.0,1.0,1.0,0.0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346,1.0,No,17,3.0,2,2.0,10.0,3.0,3,10.0,4.0,0.0,9.0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3.0,No,12,3.0,2,0.0,5.0,3.0,3,1.0,0.0,0.0,0.0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1.0,No,23,3.0,4,0.0,11.0,2.0,3,11.0,7.0,1.0,8.0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0.0,No,14,3.0,2,0.0,16.0,2.0,3,15.0,13.0,2.0,8.0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245.0,15067,4.0,Yes,14,3.0,2,0.0,17.0,3.0,4,0.0,0.0,0.0,0.0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4.0,No,13,3.0,1,0.0,16.0,3.0,4,5.0,2.0,0.0,2.0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8.0,Yes,22,3.0,4,1.0,16.0,2.0,3,4.0,2.0,0.0,2.0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,15998,1.0,Yes,12,3.0,3,2.0,10.0,1.0,2,10.0,8.0,3.0,0.0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278,1.0,No,18,3.0,1,0.0,6.0,3.0,3,6.0,4.0,0.0,4.0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3.0,No,14,3.0,4,1.0,24.0,4.0,3,1.0,0.0,1.0,0.0
38,No,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7.0,Yes,12,3.0,4,2.5,17.0,3.0,3,13.0,11.0,1.0,9.0
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1.0,No,15,3.0,3,0.0,5.0,2.0,3,5.0,2.0,1.0,3.0
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698,4.0,No,11,3.0,1,0.0,28.5,3.0,2,6.0,4.0,0.0,2.0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3.0,No,13,3.0,3,1.0,3.0,3.0,3,0.0,0.0,0.0,0.0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3.0,No,23,3.0,2,2.0,10.0,4.0,3,4.0,2.0,0.0,3.0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1.0,No,19,3.0,1,2.5,11.0,3.0,3,11.0,10.0,7.5,8.0
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1.0,No,16,3.0,4,0.0,9.0,3.0,3,9.0,8.0,4.0,7.0
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1.0,No,22,3.0,4,1.0,22.0,3.0,2,18.0,3.0,7.5,11.0
51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0.0,Yes,22,3.0,4,0.0,11.0,2.0,1,10.0,7.0,1.0,0.0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1.0,Yes,12,3.0,2,2.5,11.0,4.0,2,11.0,8.0,2.0,7.0
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142,2.0,Yes,13,3.0,3,1.0,21.0,4.5,2,10.0,9.0,7.5,5.0
32,No,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1.0,No,16,3.0,1,0.0,12.0,0.5,3,11.0,8.0,5.0,7.0
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,13549.0,24001,8.5,No,12,3.0,1,1.0,16.0,4.5,1,4.0,3.0,0.0,3.0
24,No,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0.0,No,21,3.0,1,1.0,4.0,2.0,2,3.0,2.0,0.0,2.0
28,No,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1.0,No,15,3.0,2,0.0,5.0,3.0,4,5.0,4.0,0.0,4.0
58,No,Travel_Rarely,682,Sales,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,13872.0,24409,0.0,No,13,3.0,3,0.0,28.5,1.0,2,18.0,10.0,1.0,8.0
44,No,Non-Travel,489,Research & Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4.0,No,12,3.0,3,1.0,17.0,3.0,4,3.0,2.0,1.0,2.0
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4.0,Yes,22,3.0,4,0.0,7.0,3.0,3,3.0,2.0,0.0,2.0
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1.0,No,13,3.0,4,0.0,1.0,2.0,3,1.0,0.0,0.0,0.0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1.0,Yes,18,3.0,2,0.0,1.0,4.5,3,1.0,0.0,1.0,0.0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1.0,No,14,3.0,3,0.0,16.0,3.0,3,16.0,13.0,2.0,10.0
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5.0,No,14,3.0,4,1.0,17.0,2.0,4,1.0,0.0,0.0,0.0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,16581.0,21922,8.5,No,21,3.0,4,1.0,28.5,3.0,3,3.0,2.0,2.0,2.0
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,16581.0,9755,3.0,Yes,19,3.0,1,0.0,28.0,1.0,2,8.0,3.0,0.0,7.0
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1.0,Yes,11,3.0,4,0.0,6.0,1.0,3,6.0,4.0,0.0,3.0
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,2889.0,26897,1.0,No,11,3.0,3,2.0,2.0,2.0,3,2.0,2.0,2.0,1.0
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,23785,1.0,No,15,3.0,3,0.0,1.0,4.5,3,0.0,0.0,0.0,0.0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796,3.0,No,20,3.0,3,0.0,23.0,1.0,2,13.0,12.0,7.5,8.0
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887,1.0,Yes,24,3.0,4,0.0,9.0,3.0,3,9.0,7.0,0.0,6.0
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,16581.0,13871,2.0,Yes,12,3.0,3,0.0,23.0,3.0,3,5.0,3.0,4.0,4.0
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,13257,0.0,No,12,3.0,3,1.0,6.0,2.0,3,5.0,3.0,1.0,2.0
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,15000,6.0,No,15,3.0,3,1.0,12.0,3.0,3,1.0,0.0,0.0,0.0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,7428.0,14506,2.0,No,12,3.0,1,0.0,12.0,3.0,3,5.0,3.0,1.0,3.0
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,153,3,Female,45,2,3,Manager,1,Single,11631.0,5615,2.0,No,12,3.0,4,0.0,14.0,4.5,3,11.0,10.0,5.0,8.0
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,9738.0,22952,0.0,No,14,3.0,3,1.0,10.0,4.5,3,9.0,7.0,2.0,8.0
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,2561,5.0,No,22,3.0,1,1.0,7.0,2.0,3,1.0,0.0,0.0,0.0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,16581.0,19494,1.0,Yes,12,3.0,4,2.0,25.0,3.0,4,18.0,12.0,4.0,12.0
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310,1.0,No,25,3.0,3,2.5,10.0,2.0,2,10.0,7.0,0.0,9.0
33,No,Non-Travel,750,Sales,22,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,6146.0,15480,0.0,No,13,3.0,1,1.0,8.0,2.0,4,7.0,7.0,0.0,7.0
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,4963.0,4510,8.5,Yes,18,3.0,1,2.5,7.0,2.0,3,5.0,4.0,4.0,3.0
